kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
Obat Gangguan Hormon dan Kesuburan,Microgynon,Microgynon digunakan untuk mencegah kehamilan.,"Cara Penyimpanan
Simpan pada suhu dibawah 25 derajat Celcius.",Overdosis,Efek samping penggunaan Microgynon yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Metvell,Metvell digunakan untuk pencegahan dan mengurangi perdarahan postpartum (pasca melahirkan).,Efek samping penggunaan Metvell yang mungkin terjadi adalah:,"Kontraindikasi
 Hindari penggunaan Metvell pada pasien yang memiliki indikasi:",Overdosis
Obat Gangguan Hormon dan Kesuburan,Metiagin,Metiagin digunakan sebagai manajemen tahap 3 persalinan; perdarahan rahim setelah pemisahan plasenta.,Efek samping yang mungkin terjadi adalah:,Interaksi obat:,"Kontraindikasi:
Tahap 1 persalinan, tahap 2 persalinan, inersia uterin primer dan sekunder, hipertensi, toksemia."
Obat Gangguan Hormon dan Kesuburan,Metherinal,Metherinal di gunakan untuk mencegah perdarahan pasca melahirkan dan pasca keguguran.,"Cara Penyimpanan
Simpan pada suhu antara 20-25 derajat Celcius.",Overdosis,Efek samping penggunaan Metherinal yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Meprolut,"Meprolut adalah obat yang digunakan untuk endometriosis, sindrom pramenstruasi, hingga nyeri haid. Apa kandungan Meprolut? Cek di sini.",Obat keras tersebut juga punya efek kontrasepsi karena menghambat umpan balik negatif gonadotropin hipofisis sehingga pembuahan bisa dicegah.,Manfaat Meprolut untuk menangani beberapa kondisi medis berikut:,Berikut penjelasan lengkap seputar obat Meprolut.
Obat Gangguan Hormon dan Kesuburan,Menopur,Menopur digunakan untuk mengobati ketidaksuburan pada wanita.,"Cara Penyimpanan
Simpan pada suhu dibawah 25 derajat Celcius.",Overdosis,Efek samping penggunaan Menopur yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Lynestrenol,Lynestrenol digunakan untuk mencegah kehamilan dan mengatasi gangguan menstruasi.,"Cara Penyimpanan:
Simpan pada suhu 20-25°C.","Kontraindikasi:
Tidak boleh diberikan pada pasien dengan kondisi:",Efek Samping yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Luteron,"Luteron digunakan untuk mengatasi endometriosis, nyeri perut saat haid, perdarahan rahim yang abnormal.","Efek Samping yang mungkin terjadi adalah:
1. Depresi mental
2. Epilepsi
3. Migrain, sakit kepala, pusing
4. Ketidaknyamanan payudara
5. Mual dan muntah
6. Perubahan libido
7. Nafsu makan dan berat badan
8. Perubahan aliran menstruasi
9. Perubahan suasana hati
10. Insomnia.",Interaksi obat:,"Kontraindikasi:
Tidak boleh diberikan pada pasien dengan kondisi:
1. Disfungsi hati yang parah
2. Perdarahan vagina yang tidak terdiagnosis
3. Porfiria
4. Kehamilan
5. Tromboemboli idiopatik 
6. Penyakit tromboemboli
7. Trombosis vena dalam"
Obat Gangguan Hormon dan Kesuburan,Lutenyl,Lutenyl diindikasikan untuk wanita premenopause: Kekurangan progesteron.,Efek samping yang mungkin terjadi adalah:,"Interaksi Obat
Lutenyl tidak boleh digunakan secara bersamaan dengan obat-obat berikut:","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Levothyroxine,Levothyroxine merupakan obat yang digunakan untuk pasien yang terindikasi penyakit hipotiroid (kekurangan hormon tiroid).,Overdosis,"Interaksi Obat
Obat golongan zat besi, antasida (simeticon, sucralfate) dapat menurunkan absorbsi dari obat levothyroxine-Menurunkan kadar serum tri-iodothyroid dengan obat amiodarone dan propanolol","Kontraindikasi
Pasien yang memiliki riwayat hipersensitif terhadap levothyroxine-Pasien yang memiliki riwayat penyakit hipertiroid"
Obat Gangguan Hormon dan Kesuburan,Levitra,Sulit dalam mencapai atau mempertahankan ereksi? Atasi dengan Levitra. Ketahui selengkapnya di sini.,Obat Levitra digunakan untuk mengatasi disfungsi ereksi (ketidakmampuan mencapai atau mempertahankan ereksi penis).,Tujuan: Mengatasi disfungsi ereksi (ketidakmampuan mencapai atau,Levitra merupakan golongan obat keras. Obat ini memerlukan resep dokter untuk pembelian serta penggunaannya.
Obat Gangguan Hormon dan Kesuburan,Letraz,"Letraz digunakan sebagai pengobatan tambahan pada kanker payudara dini, kanker payudara lanjut atau kanker payudara lanjut secara lokal.","Cara Penyimpanan
Simpan pada suhu 25 derajat Celcius.","Kontraindikasi
Hindari penggunaan Letraz pada pasien yang memiliki indikasi:",Efek samping yang mungkin timbul adalah:
Obat Gangguan Hormon dan Kesuburan,Isoflavit,Isoflavit digunakan untuk membantu meringankan gejala menopause.,"Belum ada efek samping yang dilaporkan. Jika terjadi efek samping yang tidak diinginkan, hentikan penggunaan dan segera hubungi Dokter.",Perhatian,"Kontraindikasi
Hindari penggunaan Isoflavit pada pasien yang memiliki indikasi hipersensitif terhadap komposisinya."
Obat Gangguan Hormon dan Kesuburan,Infelon,Infelon adalah obat yang digunakan untuk menangani kekurangan androgen dan infertilitas pada pria.,Infelon digunakan untuk mengatasi kekurangan androgen dan infertilitas pada pria.,Infelon merupakan obat keras yang menggunakan resep dokter.,Artikel Lainnya: 4 Tips Menjaga Kesehatan Organ Reproduksi Pria
Obat Gangguan Hormon dan Kesuburan,Gonal-F,Gonal-F adalah obat yang digunakan untuk merangsang follicel stimulating hormone (FSH).,Efek samping penggunaan Gonal-F yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Genoclom,Genoclom adalah obat yang digunakan untuk mengobati infertilitas atau kemandulan pada wanita dan oligospermia atau rendahnya jumlah sperma. Bagaimana cara pakainya?,Artikel Lainnya: Tanda Infertilitas atau Ketidaksuburan pada Wanita,Genoclom merupakan obat yang termasuk ke dalam golongan obat keras sehingga setiap pembeliannya harus menggunakan resep dokter.,Obat Genoclom digunakan untuk mengobati infertilitas (kemandulan) pada wanita dan oligospermia (rendahnya jumlah sperma).
Obat Gangguan Hormon dan Kesuburan,GP-Fertil,GP-Fertil diindikasikan sebagai pengobatan Infertilitas wanita akibat disfungsi ovulasi.,"Efek samping yang mungkin terjadi selama penggunaan GP-Fertil, antara lain:","Interaksi obat:
Jika diberikan bersamaan dengan ospemifene dapat meningkatkan efek toksik.","Kontraindikasi: 
Hindari penggunaan GP-Fertil pada pasien yang memiliki indikasi:"
Obat Gangguan Hormon dan Kesuburan,Folamil Genio,Folamil Genio digunakan sebagai suplemen multivitamin dan mineral untuk wanita hamil dan menyusui.,Aturan minum: 1 kapsul lunak per hari. Berikan sesudah makan.,Belum ada efek samping yang dilaporkan. Jika terjadi reaksi alergi hentikan pemakaian Folamil Genio dan segera konsultasikan dengan Dokter anda.,"Cara Penyimpanan
Simpan pada suhu antara 15-25 derajat Celcius di tempat yang kering. Lindungi dari cahaya."
Obat Gangguan Hormon dan Kesuburan,Fervula,Fervula digunakan untuk membantu mengobati infertilitas pada wanita.,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius, terhindari dari panas dan cahaya.","Kontraindikasi
Hindari penggunaan Fervula pada pasien dengan kondisi:",Efek samping yang mungkin timbul adalah:
Obat Gangguan Hormon dan Kesuburan,Fertin,Fertin merupakan obat yang digunakan untuk membantu mengobati infertilitas (kegagalan untuk hamil) pada wanita.,Efek samping penggunaan Fertin yang mungkin terjadi adalah:,"Interaksi Obat
Dapat meningkatkan efek samping ospemifene.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Femoston,"Femostan digunakan untuk terapi penggantian hormon pasca menopause, mencegah osteoporosis pascamenopause, ,mengobati sindrom pra menstruasi.",Efek samping penggunaan Femostan yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Femaplex,Femaplex adalah obat dengan kandungan letrozole untuk terapi kanker payudara yang bekerja dengan cara mengurangi jumlah estrogen yang diproduksi tubuh sehingga menghentikan pertumbuhan sel kanker.,Artikel lainnya:Ciri-ciri Kanker Payudara Sesuai Stadium,Dosis untuk penggunaan Femaplex sangat tergantung dengan kondisi kanker pada orang yang menggunakannya. Adapun dosis umum yang biasa diberikan adalah :,Femaplex digunakan untuk mengatasi beberapa kondisi berikut :
Obat Gangguan Hormon dan Kesuburan,Evista,Evista adalah obat yang digunakan untuk pengobatan dan pencegahan osteoporosis,Efek samping penggunaan Evista yang mungkin terjadi adalah:,"Interaksi Obat
Evista dapat berinteraksi dengan Warfarin, Kolestiramin dan Ampisilin.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Euthyrox,Euthyrox digunakan untuk membantu memenuhi kebutuhan tiroid yang biasanya diproduksi oleh kelenjar tiroid.,"Cara Penyimpanan
Simpan pada suhu tidak lebih dari 25 derajat Celcius dan terhindar dari cahaya.","Kontraindikasi
Pasien yang memiliki riwayat hipersensitif terhadap levothyroxine sodium",Efek samping penggunaan Euthyrox yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Estriol,"Estriol adalah obat hormonal yang bisa membantu menggantikan kekurangan hormon estrogen pada tubuh. Untuk informasi selanjutnya, cari tahu di sini.","Ternyata, penurunan kadar estrogen ini pun memiliki dampak yang tidak sehat bagi tubuh, diantaranya adalah osteoporosis hingga gangguan jantung.","Artikel lainnya: 12 Penyebab Telat Haid Sebulan, Pertanda Apa?","Oleh karena itu, wanita yang telah berhenti menstruasi perlu mendapatkan pengobatan yang disebut dengan terapi penggantian hormon."
Obat Gangguan Hormon dan Kesuburan,Estradiol,Estradiol merupakan obat yang digunakan untuk mengatasi gejala pasca menopause dan gangguan hormon lainnya. Apa sajakah itu? Cari tahu di sini.,Tablet salut selaput: Angeliq: Qlaira,"Saat menopause, Estradiol menggantikan produksi estrogen yang kadarnya berkurang dan meringankan gejala menopause.","Estradiol merupakan steroid estrogenik yang digunakan untuk mengatasi gejala pasca menopause, seperti vagina kering, gatal, iritasi, dan disuria. Obat ini mirip dengan hormon endogen estrogen."
Obat Gangguan Hormon dan Kesuburan,Esthero,Esthero adalah obat yang digunakan mengatasi kekurangan (defisiensi) estrogen pada wanita yang mulai memasuki fase menopause. Yuk cari tahu selengkapnya di sini.,Esthero digunakan untuk mengatasi gejala menopause akibat kekurangan (defisiensi) estrogen dan pencegahan osteoporosis pada pasca menopause.,Tujuan: Defisiensi Estrogen,"Esthero termasuk dalam golongan obat keras, hanya bisa didapatkan dan digunakan berdasarkan resep Dokter. Selain itu, dosis penggunaan obat ini berbeda-beda tergantung kondisi pasien."
Obat Gangguan Hormon dan Kesuburan,Ericfil,Ericfil digunakan untuk perawatan disfungsi ereksi (ketidakmampuan mencapai atau mempertahankan ereksi) dan kondisi lainnya.,Ericfil digunakan untuk mengobati disfungsi ereksi pada pria dan hipertensi pulmonal.,Tujuan: Mengobati disfungsi ereksi pada pria,"Ericfil merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter. Selain itu, dosis penggunaan Ericfil juga harus dikonsultasikan dengan dokter dan apoteker terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu tergantung berat tidaknya penyakit yang diderita."
Obat Gangguan Hormon dan Kesuburan,Endrolin,Endrolin adalah obat hormon yang digunakan untuk pengobatan paliatif kanker prostat stadium lanjut. Obat ini tergolong obat keras yang tersedia dalam bentuk injeksi.,"Selain untuk kanker prostat, Endrolin juga digunakan untuk mengobati endometriosis atau kista cokelat. Penggunaan obat, dapat menghentikan pertumbuhan jaringan yang abnormal. Namun penggunaan Endrolin akan menyebabkan berhentinya menstruasi selama periode pengobatan ataupun jadwal menstruasi yang tidak teratur.",Manfaat Endrolin yaitu sebagai terapi pengobatan kanker prostat stadium lanjut atau sudah mengalami penyebaran.,Artikel Lainnya: Gejala Kanker Prostat yang Harus Anda Waspadai
Obat Gangguan Hormon dan Kesuburan,Duvadilan,"Duvadilan mengandung Isoxsuprine HCl digunakan untuk mengobati gangguan pembuluh darah perifer yang disebabkan oleh kontraksi otot, pilek, kekakuan, kram, serta ulserasi pada penderita diabetes.",Artikel Lainnya: 8 Cara Ampuh untuk Mengatasi Kram Kaki saat Hamil,"Duvadilan termasuk obat keras, obat ini hanya dapat diberikan sesuai resep dokter. Selain itu, dosis penggunaan obat ini berbeda-beda tergantung kondisi pasien.","Duvadilan berfungsi untuk mengobati beberapa masalah kesehatan, seperti:"
Obat Gangguan Hormon dan Kesuburan,Duphaston,Duphaston adalah Obat dengan kandungan dydrogesterone yang merupakan Hormon pengganti progesteron. obat ini digunakan untuk mengatasi Infertilitas dan mengontrol Menstruasi yang tidak teratur.,"Tidak hanya itu, obat ini juga berperan dalam membantu mengatur siklus menstruasi yang sering dikeluhkan oleh penderita PCOS. Duphaston diproduksi dalam bentuk sediaan tablet salut selaput.",Artikel lainnya: Cara Meningkatkan Hormon Progesteron Wanita,Obat ini memiliki komponen penting dalam menjaga kehamilan atau penguat kehamilan seperti mengatasi threatened abortion atau ancaman keguguran. Pada beberapa kasus juga digunakan untuk mencegah keguguran yang berulang dan terapi dilakukan hingga minggu ke-20 kehamilan.
Obat Gangguan Hormon dan Kesuburan,Divalin,Divalin merupakan jenis obat hormonal yang berbentuk suntik dan biasa digunakan untuk mengatasi masalah endometriosis dan penebalan endrometrium.,"Kontraindikasi
Hindari penggunaan Divalin pada pasien yang memiliki indikasi:","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Divalin ke dalam Kategori X:
Studi pada hewan atau manusia telah menunjukkan kelainan pada janin atau ada bukti risiko pada janin berdasarkan pengalaman manusia. Risiko penggunaan obat ini pada wanita hamil jelas melebihi manfaat yang diharapkan. Obat ini dikontraindikasikan pada wanita hamil dan wanita usia subur yang memiliki kemungkinan hamil.","Interaksi Obat
Berikut ini adalah beberapa interaksi obat yang umumnya terjadi pada Divalin:"
Obat Gangguan Hormon dan Kesuburan,Dipthen,Dipthen adalah obat dengan kandungan Clomiphene citrate yang digunakan untuk mengobati infertilitas pada wanita dan oligospermia. Dipthen merangsang ovulasi untuk meningkatkan hormon reproduksi.,Artikel lainnya: Tanda Infertilitas atau Ketidaksuburan pada Wanita,"Dipthen merupakan obat yang termasuk ke dalam golongan obat keras sehingga pada setiap pembeliannya harus menggunakan resep dokter. Selain itu, dosis penggunaan Dipthen juga harus dikonsultasikan dengan dokter terlebih dahulu sebelum digunakan, karena dosis penggunaannya berbeda-beda setiap individu tergantung berat tidaknya penyakit yang diderita.
Berikut adalah dosis dan aturan penggunaan Dipthen secara umum:",Dipthen digunakan untuk mengobati infertilitas (kemandulan) pada wanita dan oligospermia (rendahnya jumlah sperma).
Obat Gangguan Hormon dan Kesuburan,Deponeo,Deponeo digunakan untuk kontrasepsi injeksi periode tiga bulan. Deponeo juga digunakan untuk terapi hormon kanker payudara.,"Efek samping yang mungkin terjadi selama penggunaan Deponeo, antara lain:","Interaksi Obat
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Deponeo:","Kontraindikasi
Hindari penggunaan Deponeo pada pasien yang memiliki indikasi:"
Obat Gangguan Hormon dan Kesuburan,Depo Prothyra,"Depo Prothyra digunakan untuk kontrasepsi injeksi periode tiga bulan, selain itu dapat digunakan untuk terapi hormon kanker payudara.","Efek samping yang mungkin terjadi selama penggunaan Depo Prothyra, antara lain:","Interaksi Obat
Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Depo Prothyra:","Kontraindikasi
Hindari penggunaan Depo Prothyra pada pasien yang memiliki indikasi:"
Obat Gangguan Hormon dan Kesuburan,Decatosin,Decatosin digunakan untuk merangsang kontraksi pada dinding rahim agar mempermudah proses melahirkan.,Efek samping penggunaan Decatosin yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Pasien yang memiliki riwayat hipersensitif terhadap oksitoksin."
Obat Gangguan Hormon dan Kesuburan,Cycloprogynova,"Cycloprogynova di gunakan sebagai terapi gejala klimakterik, gangguan pasca menopause akibat menurunnya jumlah estrogen, amenore primer.","Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius, di tempat kering dan sejuk.","Kontraindikasi
Hindari penggunaan Cycloprogynova pada pasien yang memiliki indikasi:",Efek samping penggunaan Cycloprogynova yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Crinone,Crinone adalah sediaan gel yang digunakan untuk mempunyai kelainan hormon pada wanita.,"Efek samping yang mungkin terjadi selama penggunaan Crinone, antara lain:","Interaksi Obat
Sebaiknya tidak digunakan bersamaan dengan / terapi intravaginal lokal lainnya.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Clovertil,Clovertil merupakan obat Klomifen sitrat yang berkhasiat untuk mengatasi masalah ketidaksuburan atau kemandulan pada pria dan wanita.,Efek samping yang ditimbulkan dari penggunaan Clovertil:,"Interaksi Obat
Ospemifene dapat meningkatan efek samping dari Clovertil.
 
Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Clovertil ke dalam Kategori X:
Studi pada hewan atau manusia telah menunjukkan kelainan pada janin atau ada bukti risiko pada janin berdasarkan pengalaman manusia. Risiko penggunaan obat ini pada wanita hamil jelas melebihi manfaat yang diharapkan. Obat ini dikontraindikasikan pada wanita hamil dan wanita usia subur yang memiliki kemungkinan hamil.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Clomifil,Clomifil merupakan obat yang digunakan untuk mengatasi infertilitas (ketidaksuburan) akibat tidak terjadinya ovulasi,Efek Samping yan dapat timbul dari penggunaan obat Clomifil yaitu:,"Interaksi Obat
 Jika diberikan bersamaan dengan ospemifene dapat meningkatkan efek toksik.
 
 Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Clomifil ke dalam Kategori X:
Studi pada hewan atau manusia telah menunjukkan kelainan pada janin atau ada bukti risiko pada janin berdasarkan pengalaman manusia. Risiko penggunaan obat ini pada wanita hamil jelas melebihi manfaat yang diharapkan. Obat ini dikontraindikasikan pada wanita hamil dan wanita usia subur yang memiliki kemungkinan hamil.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:"
Obat Gangguan Hormon dan Kesuburan,Clomifene,Clomifene digunakan untuk mengatasi infertilitas (ketidaksuburan) akibat anovulasi (kegagalan pematangan sel telur).,"Cara Penyimpanan
Simpan pada suhu di bawah 25 ° C. Lindungi dari cahaya, panas, dan kelembaban yang berlebihan.","Kontraindikasi:
Tidak boleh diberikan pada pasien dengan kondisi:",Efek samping penggunaan Clomifene yang mungkin terjadi adalah:
Obat Gangguan Hormon dan Kesuburan,Cialis,Cialis merupakan obat untuk membantu mengobati masalah fungsi seksual pria dan mengobati gejala pembesaran prostat. Ingin tahu informasi lainnya? Simak di sini.,Artikel lainnya: 15 Cara Mengatasi Ejakulasi Dini pada Pria Secara Alami,Cialis termasuk dalam golongan obat keras sehingga hanya bisa didapatkan dan digunakan berdasarkan resep dokter.,Cialis digunakan untuk membantu mengatasi masalah fungsi seksual pria (impotensi atau disfungsi ereksi) dan mengobati gejala pembesaran prostat.
Obat Gangguan Hormon dan Kesuburan,Cetrotide,Cetrotide merupakan sediaan obat yang digunakan untuk mencegah terjadinya ovalusi prematur.,Efek samping Cetrotide yang mungkin terjadi:,"Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Cetrotide ke dalam Kategori X:
Studi pada hewan atau manusia telah menunjukkan kelainan pada janin atau ada bukti risiko pada janin berdasarkan pengalaman manusia. Risiko penggunaan obat ini pada wanita hamil jelas melebihi manfaat yang diharapkan. Obat ini dikontraindikasikan pada wanita hamil dan wanita usia subur yang memiliki kemungkinan hamil.","Kontraindikasi
 Hindari penggunaan Cetrotide pada pasien yang memiliki indikasi:"
Obat Gangguan Hormon dan Kesuburan,Caprenafil,Caprenafil digunakan untuk membantu mengobati disfungsi ereksi/impotensi.,"Cara Penyimpanan
Simpan pada suhu 15-30 derajat Celcius, di tempat kering dan sejuk.","Kontraindikasi
Hindari penggunaan pada pasien dengan kondisi:","Efek samping yang mungkin terjadi selama penggunaan Caprenafil, antara lain:"
Obat Gangguan Hormon dan Kesuburan,Blesifen,Blesifen diindikasikan sebagai pengobatan infertilitas (ketidaksuburan) pada wanita akibat disfungsi ovulasi.,"Efek samping yang mungkin terjadi selama penggunaan Blesifen, antara lain:","Interaksi Obat
Jika diberikan bersamaan dengan ospemifene dapat meningkatkan efek toksik (keracunan).","Kontraindikasi
Hindari penggunaan Blesifen pada pasien yang memiliki indikasi:"
Obat Gangguan Hormon dan Kesuburan,Azol,"Azol digunakan untuk terapi pengobatan endometriosis, menoragia, penyakit fibrokistik pada payudara.","Cara Penyimpanan
Simpan pada suhu di bawah 25 derajat Celcius, di tempat kering dan sejuk.","Kontraindikasi
Hindari penggunaan Azol pada pasien yang memiliki indikasi:",Efek samping yang mungkin terjadi saat penggunaan Azol adalah:
Obat Gangguan Hormon dan Kesuburan,Aspar K,"Aspar-K digunakan untuk memenuhi kebutuhan kalium. Kondisi-kondisi seperti apa yang memerlukan obat ini? Yuk, simak penjelasannya berikut.",Aspar-K adalah obat dengan kandungan kalium L-Aspartat yang berfungsi untuk mengatasi hipokalemia (kondisi tubuh kekurangan kalium).,Artikel Lainnya: Manfaat Potasium yang Perlu Anda Tahu,"Kondisi-kondisi seperti apakah yang memerlukan obat ini? Yuk, simak penjelasannya lebih lanjut di bawah ini."
Obat Gangguan Hormon dan Kesuburan,Angeliq,Angeliq Tablet digunakan untuk terapi pada wanita pasca menopause.,"Dosis pemberian: 1 tablet per hari selama 28 hari berikan bersama makanan. Telan utuh, jangan dikunyah atau dihancurkan.",Efek samping penggunaan Angeliq yang mungkin terjadi adalah:,"Cara Penyimpanan
Simpan pada suhu di bawah 30 derajat Celcius, di tempat kering dan sejuk."
Obat Gangguan Hormon dan Kesuburan,Alyrenol,Alyrenol mengandung allylestrenol yang dapat digunakan untuk mencegah terjadinya keguguran.,Efek samping yang mungkin timbul adalah gangguan gastroitenstinal.,Interaksi obat:,"Kontraindikasi:
Hindari pemberian pada pasien dengan gangguan hati."
Obat Gangguan Hormon dan Kesuburan,Allylestrenol,Allylestrenol adalah obat yang digunakan untuk mencegah kelahiran prematur dan keguguran. Cari tahu informasinya di sini.,Artikel lainnya: Cek Persentase Risiko Keguguran Berdasarkan Usia Kandungan,"Allylestrenol termasuk obat keras, obat ini hanya dapat diberikan sesuai resep dokter.","Allylestrenol dapat digunakan sebagai pengganti hormon progesteron pada pasien yang kekurangan hormon tersebut untuk mencegah kehamilan yang berisiko keguguran, kelahiran prematur, dan keguguran berulang."
Obat Kulit,Zoralin,Zoralin adalah antijamur yang mengandung ketoconazole. Bagaimana cara kerja obat ini dalam mengatasi masalah infeksi jamur? Ini jawabannya.,"Tergolong sebagai obat keras, berikut informasi lengkap seputar Zoralin.","Artikel lainnya: Panu Tak Kunjung Sembuh, Tanda Penyakit Apa?","Zoralin digunakan untuk menangani infeksi jamur pada kulit, misalnya panu, kurap, serta ketombe."
Obat Kulit,Zoloral,"Zoloral adalah obat antijamur dengan kandungan ketoconazole sebagai zat aktifnya. Obat ini tersedia dalam bentuk tablet, krim, dan sampo.",Artikel Lainnya: Infeksi Jamur Juga Bisa Menular Lewat Sentuhan,"Zoloral adalah obat keras. Oleh sebab itu, setiap pemakaian dan penggunaan memerlukan rekomendasi dan resep dari dokter.",Manfaat Zoloral adalah mengobati infeksi yang disebabkan oleh jamur di dalam tubuh dan infeksi jamur di kulit.
Obat Kulit,Zolagel,Zolagel digunakan untuk mengatasi infeksi kulit dan kuku yang disebabkan oleh jamur.,Efek samping penggunaan Zolagel yang mungkin terjadi adalah:,Interaksi Obat,"Kontraindikasi
Tidak boleh diberikan pada pasien yang hipersensitif."
Obat Kulit,Zeliris,Zeliris di gunakan untuk mengobati dan mengurangi jerawat.,"Zeliris dioleskan 2 kali sehari ke daerah kulit yang berjerawat, tidak boleh di gunakan > 6 bulan.","Kontraindikasi
Hindari penggunaan pada pasien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Zeliris.","Efek samping Zeliris yang mungkin terjadi, antara lain: kulit gatal, rasa terbakar, tersengat, kemerahan, kering, ruam, terkelupas, iritasi, dan bersisik."
Obat Kulit,Zelface,Zelface di gunakan untuk membantu mengobati dan mengurangi jerawat tingkat ringan sampai dengan sedang.,"Efek samping zelface yang mungkin terjadi, antara lain: kulit gatal, rasa terbakar, tersengat, kemerahan, kering, ruam, terkelupas, iritasi, dan bersisik.","Kategori Kehamilan
Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan zelface ke dalam Kategori B:
Studi pada reproduksi hewan tidak menunjukkan risiko janin, tetapi tidak ada studi terkontrol pada wanita hamil atau studi reproduksi hewan telah menunjukkan efek buruk (selain penurunan kesuburan) yang tidak dikonfirmasi dalam studi terkontrol pada wanita hamil trimester pertama (dan tidak ada bukti risiko pada trimester berikutnya).","Kontraindikasi
Tidak boleh di berikan pada pasien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Zelface."
Obat Kulit,Yaricef,Yaricef adalah obat yang mengandung zat aktif Cefadroxil untuk mengobati infeksi kulit dan struktur kulit atau Infeksi lain karena mikroorganisme. Obat ini tersedia dalam bentuk kapsul dan sirup.,Yaricef digunakan untuk mengobati infeksi kulit dan struktur kulit atau Infeksi lain karena mikroorganisme.,"Dosis dan Cara Penggunaan Yaricef, harus dengan Anjuran dan Resep Dokter.","Artikel lainnya: Mengenal 5 Gejala Impetigo, Infeksi Kulit yang Bisa Menular"
Obat Kulit,Vitaquin,Merasa kurang percaya diri karena bekas jerawat dan flek hitam? Coba atasi dengan Vitaquin. Apa saja kandungan salep Vitaquin?,Vitaquin belum diketahui apakah dapat terserap ke dalam ASI dan memengaruhi produksi. Jangan menggunakan obat tanpa berkonsultasi terlebih dahulu kepada dokter.,Salep Vitaquin tergolong obat bebas. Anda bisa membelinya secara bebas di apotek dan toko obat terdekat.,"Manfaat Vitaquin untuk memutihkan wajah dan menghilangkan bekas jerawat, flek, dan bercak kehitaman pada wajah."
Obat Kulit,Vitacid,"Vitacid diindikasikan untuk menghilangkan komedo, menghilangkan jerawat, dan menyamarkan noda bekas jerawat. Yuk, kenali cara penggunaan hingga efek samping obat ini!",Vitacid 0.05 %: Rp 53.690 / tube,Vitacid 0.05 %: Rp 78.643 / tube,Vitacid 0.1 %: Rp 69.680 / tube
Obat Kulit,Trifacyclin,Trifacyclin digunakan untuk mengatasi infeksi kulit yang disebabkan oleh bakteri yang peka terhadap tetracycline.,Efek samping mungkin terjadi selama penggunaan Trifacyclin adalah:,Interaksi Obat,"Overdosis
Mengkonsumsi Tetracycline melebihi dosis anjuran dapat menimbulkan gejala mual, muntah, hipersensitivitas
 
 Kontraindikasi"
Obat Kulit,Tricodion,Tricodion digunakan untuk mengatasi melasma sedang sampai parah.,"Cara Penyimpanan
Simpan pada suhu di bawah 30°C.","Kontraindikasi
Hindari penggunaan Tricodion pada pasien dengan kondisi:","Efek samping yang mungkin terjadi selama penggunaan Tricodion, antara lain:"
